chr	start	end	strand	pvalue	qvalue	meth.diff
CP045890.1	14303707	14303709	*	0.013258081660036	0.00409377224789073	11.1111111111111
CP045890.1	14313297	14313299	*	0.00642241213123064	0.00409377224789073	-11.1111111111111
CP045890.1	14445155	14445157	*	0.00302229835961045	0.00409377224789073	-11.3207547169811
CP045890.1	14862895	14862897	*	0.00165710651866806	0.00409377224789073	12.1951219512195
CP045890.1	14918721	14918723	*	0.0123062759666499	0.00409377224789073	11.7647058823529
CP045890.1	15374697	15374699	*	0.00310288174739261	0.00409377224789073	-22.015503875969
CP045890.1	15530242	15530244	*	0.00431357046909771	0.00409377224789073	-16.6666666666667
CP045890.1	15570962	15570964	*	0.00168440302503673	0.00409377224789073	16.6666666666667
CP045890.1	15670389	15670391	*	0.00216991864736953	0.00409377224789073	-12.1951219512195
CP045890.1	16095893	16095895	*	1.88411030527753e-05	0.00409377224789073	27.2727272727273
CP045890.1	16103166	16103168	*	0.00871086540111083	0.00409377224789073	-10.2040816326531
CP045890.1	16151131	16151133	*	0.00209629459398149	0.00409377224789073	-15.1515151515152
CP045890.1	16157734	16157736	*	5.78218326883338e-05	0.00409377224789073	18.6046511627907
CP045890.1	16330514	16330516	*	0.0273043296193238	0.00409377224789073	10.2564102564103
CP045890.1	16380918	16380920	*	0.000933942621688787	0.00409377224789073	-11.1111111111111
CP045890.1	16518858	16518860	*	0.00606378382113013	0.00409377224789073	14.2857142857143
CP045890.1	17041001	17041003	*	0.00618293014193622	0.00409377224789073	-12.5
CP045890.1	17130226	17130228	*	0.0009429156577003	0.00409377224789073	-16.6666666666667
CP045890.1	17513942	17513944	*	0.0120918925642027	0.00409377224789073	10.6382978723404
CP045890.1	17663652	17663654	*	0.206506642296195	0.00409377224789073	-10.0737100737101
CP045890.1	17697167	17697169	*	0.000723144981914706	0.00409377224789073	14.2857142857143
CP045890.1	17815166	17815168	*	0.00327449030628264	0.00409377224789073	15
CP045890.1	17841361	17841363	*	0.0022713261328803	0.00409377224789073	15.7894736842105
CP045890.1	18016252	18016254	*	0.00815279685683619	0.00409377224789073	11.9047619047619
CP045890.1	18064301	18064303	*	0.00316415579803087	0.00409377224789073	11.1111111111111
CP045890.1	18129949	18129951	*	0.00758153216463574	0.00409377224789073	-12.1951219512195
CP045890.1	18192723	18192725	*	0.00322154030473938	0.00409377224789073	16.2162162162162
CP045890.1	18294617	18294619	*	0.00160851731589196	0.00409377224789073	-14.6341463414634
CP045890.1	18440619	18440621	*	0.00492069213901724	0.00409377224789073	12.7659574468085
CP045890.1	18929274	18929276	*	0.00204733040280468	0.00409377224789073	10.8695652173913
CP045890.1	19107544	19107546	*	0.00681054378999882	0.00409377224789073	11.3207547169811
CP045890.1	19721239	19721241	*	0.00280974951999745	0.00409377224789073	14.2857142857143
CP045890.1	20251929	20251931	*	0.00201325266389309	0.00409377224789073	-12
CP045890.1	20444193	20444195	*	0.00567991213687958	0.00409377224789073	12.5
CP045890.1	20541642	20541644	*	0.00555212855619171	0.00409377224789073	11.3636363636364
CP045890.1	20555053	20555055	*	0.00183547862822109	0.00409377224789073	13.6363636363636
CP045890.1	20601910	20601912	*	0.00896462590331788	0.00409377224789073	-12
CP045890.1	20623704	20623706	*	0.00621682017842896	0.00409377224789073	-10.9090909090909
CP045890.1	20676644	20676646	*	0.009949270162978	0.00409377224789073	-10.8695652173913
CP045890.1	21214286	21214288	*	0.00811717197013176	0.00409377224789073	-10.7142857142857
CP045890.1	21453986	21453988	*	0.00109050422084446	0.00409377224789073	-11.1111111111111
CP045890.1	21620322	21620324	*	0.00463966509728577	0.00409377224789073	-14.2857142857143
CP045890.1	21679022	21679024	*	0.00836713213881948	0.00409377224789073	11.1111111111111
CP045890.1	21714168	21714170	*	0.000462605429846689	0.00409377224789073	-17.6470588235294
CP045890.1	21941086	21941088	*	0.00721364248114298	0.00409377224789073	10.8695652173913
CP045890.1	22200084	22200086	*	0.00242708199860643	0.00409377224789073	-12.1951219512195
CP045890.1	22235375	22235377	*	0.00110668555942836	0.00409377224789073	16.6666666666667
CP045890.1	22477877	22477879	*	0.000495387904724065	0.00409377224789073	-19.047619047619
CP045890.1	22608380	22608382	*	0.00126357596182453	0.00409377224789073	13.6363636363636
CP045890.1	22638366	22638368	*	0.00166830192642142	0.00409377224789073	10.6382978723404
CP045890.1	22875034	22875036	*	0.000390374426473371	0.00409377224789073	13.953488372093
CP045890.1	22878500	22878502	*	0.00742558202408434	0.00409377224789073	-11.5384615384615
CP045890.1	23122463	23122465	*	0.00316415580037575	0.00409377224789073	11.1111111111111
CP045890.1	23208271	23208273	*	0.000907594405350687	0.00409377224789073	15.3846153846154
CP045890.1	23594824	23594826	*	0.00549930965700357	0.00409377224789073	11.3207547169811
CP045890.1	23956938	23956940	*	0.000360190017017396	0.00409377224789073	12.7659574468085
CP045890.1	23974064	23974066	*	0.0102614933013926	0.00409377224789073	-10.5263157894737
CP045890.1	24086457	24086459	*	0.00193538169347404	0.00409377224789073	-10.7142857142857
CP045890.1	24155656	24155658	*	0.00532304292084446	0.00409377224789073	12.7659574468085
CP045890.1	24193174	24193176	*	0.00203258371526257	0.00409377224789073	13.0434782608696
CP045890.1	24832270	24832272	*	0.00326833253691868	0.00409377224789073	10.5263157894737
CP045890.1	24858176	24858178	*	0.00709745267953212	0.00409377224789073	11.9047619047619
CP045890.1	25015896	25015898	*	0.00442355907258147	0.00409377224789073	-10.2040816326531
CP045890.1	25135977	25135979	*	0.00337174593976602	0.00409377224789073	12.7659574468085
CP045890.1	25533173	25533175	*	0.0150791524534668	0.00409377224789073	-10.8695652173913
CP045890.1	25544360	25544362	*	0.00354215449656638	0.00409377224789073	16.2162162162162
CP045890.1	26098986	26098988	*	0.00137518376926251	0.00409377224789073	-10.9090909090909
CP045890.1	26332001	26332003	*	0.000528571684792094	0.00409377224789073	11.1111111111111
CP045890.1	26412702	26412704	*	0.0185007327792718	0.00409377224789073	-10.2564102564103
CP045890.1	26432883	26432885	*	0.00555212855621023	0.00409377224789073	11.3636363636364
CP045890.1	26871839	26871841	*	0.0029174790100796	0.00409377224789073	12.7659574468085
CP045890.1	27462565	27462567	*	0.00747092540556716	0.00409377224789073	-10.5263157894737
CP045890.1	27719238	27719240	*	0.00920353624606085	0.00409377224789073	10.5263157894737
CP045890.1	27856396	27856398	*	0.000965914454535555	0.00409377224789073	-14.2857142857143
CP045890.1	28187941	28187943	*	0.00673423826609749	0.00409377224789073	-11.1111111111111
CP045890.1	28481771	28481773	*	0.0102712756420367	0.00409377224789073	10.9090909090909
CP045890.1	28503845	28503847	*	0.00285435552135096	0.00409377224789073	13.8888888888889
CP045890.1	28662794	28662796	*	0.00258044584600634	0.00409377224789073	-17.6470588235294
CP045890.1	29240927	29240929	*	0.00836713213881074	0.00409377224789073	-11.1111111111111
CP045890.1	29245439	29245441	*	0.00431357046909768	0.00409377224789073	-16.6666666666667
CP045890.1	29246039	29246041	*	0.00490083942301886	0.00409377224789073	12.8205128205128
CP045890.1	29261625	29261627	*	0.000148325606961698	0.00409377224789073	14.8936170212766
CP045890.1	29654960	29654962	*	0.00777597757391394	0.00409377224789073	-11.1111111111111
CP045890.1	30021028	30021030	*	0.00313768613397908	0.00409377224789073	-13.5135135135135
CP045890.1	30087803	30087805	*	0.00806737220821887	0.00409377224789073	-14.7058823529412
CP045890.1	30618944	30618946	*	0.0160470785395429	0.00409377224789073	-11.9047619047619
CP045890.1	30892703	30892705	*	0.00580909313784665	0.00409377224789073	14.2857142857143
CP045890.1	30996617	30996619	*	0.000692901473486928	0.00409377224789073	-11.1111111111111
CP045890.1	31011224	31011226	*	0.00113814540379459	0.00409377224789073	13.8888888888889
CP045890.1	31039239	31039241	*	0.00775890660677921	0.00409377224789073	12.2448979591837
CP045890.1	31157369	31157371	*	0.0063364458247867	0.00409377224789073	-11.3207547169811
CP045890.1	31323540	31323542	*	0.0588906454294379	0.00409377224789073	-10.4665825977301
CP045890.1	31546785	31546787	*	0.0175108313004612	0.00409377224789073	-11.3207547169811
CP045890.1	31810064	31810066	*	0.00178581499670282	0.00409377224789073	14.7058823529412
CP045890.1	31927653	31927655	*	0.00348473120307569	0.00409377224789073	10.1694915254237
CP045890.1	32009476	32009478	*	0.00645363524039953	0.00409377224789073	13.1578947368421
CP045890.1	32221148	32221150	*	0.000263963897833429	0.00409377224789073	15.7894736842105
CP045890.1	32247966	32247968	*	0.00389743393306089	0.00409377224789073	-17.1428571428571
CP045890.1	32463931	32463933	*	0.0175696783740892	0.00409377224789073	-21.3438735177866
CP045890.1	32641629	32641631	*	0.00111652857107792	0.00409377224789073	12.5
CP045890.1	32847040	32847042	*	0.00639990985882945	0.00409377224789073	-11.7647058823529
CP045890.1	33267216	33267218	*	0.00137121008932736	0.00409377224789073	18.75
CP045890.1	33312292	33312294	*	0.00629398237635443	0.00409377224789073	11.3636363636364
CP045890.1	33345344	33345346	*	0.00386851158998021	0.00409377224789073	14.7058823529412
CP045890.1	33647375	33647377	*	0.00333084473574016	0.00409377224789073	-14.7058823529412
CP045890.1	33667598	33667600	*	0.0067825122406649	0.00409377224789073	-12.7659574468085
CP045890.1	34437476	34437478	*	0.00190548956931404	0.00409377224789073	11.9047619047619
CP045890.1	34451544	34451546	*	0.013364208750716	0.00409377224789073	-11.3636363636364
CP045890.1	34451549	34451551	*	0.0178098191717293	0.00409377224789073	-10.2040816326531
CP045890.1	34456346	34456348	*	0.00235644692565797	0.00409377224789073	12.5
CP045890.1	35106938	35106940	*	0.00377709602722555	0.00409377224789073	15.1515151515152
CP045890.1	35320330	35320332	*	0.0143984691782354	0.00409377224789073	-11.3636363636364
CP045890.1	35425571	35425573	*	0.00191864635071287	0.00409377224789073	-11.7647058823529
CP045890.1	35788205	35788207	*	0.00131524046384663	0.00409377224789073	15.3846153846154
CP045891.1	21558	21560	*	0.00311124770582802	0.00409377224789073	-18.75
CP045891.1	90111	90113	*	0.00274243477704047	0.00409377224789073	10.5263157894737
CP045891.1	208612	208614	*	0.00106769037962034	0.00409377224789073	-17.1428571428571
CP045891.1	405422	405424	*	0.00134422593409063	0.00409377224789073	-16.2162162162162
CP045891.1	586053	586055	*	0.00200244141514638	0.00409377224789073	13.3333333333333
CP045891.1	808239	808241	*	0.00681442986565599	0.00409377224789073	10.6382978723404
CP045891.1	1042963	1042965	*	0.0638647037611883	0.00409377224789073	10.573476702509
CP045891.1	1055627	1055629	*	0.000313671199600207	0.00409377224789073	14.2857142857143
CP045891.1	1168280	1168282	*	0.00208017002950452	0.00409377224789073	-18.1818181818182
CP045891.1	1873424	1873426	*	0.010360717548238	0.00409377224789073	-11.4285714285714
CP045891.1	1964658	1964660	*	0.00244658739318211	0.00409377224789073	10.5263157894737
CP045891.1	2014458	2014460	*	0.000957288709789344	0.00409377224789073	10.9090909090909
CP045891.1	2252398	2252400	*	0.00145572797269255	0.00409377224789073	-13.953488372093
CP045891.1	2647344	2647346	*	0.0174005892255131	0.00409377224789073	-10.2564102564103
CP045891.1	3344281	3344283	*	0.00107504283748492	0.00409377224789073	14.2857142857143
CP045891.1	3457909	3457911	*	0.00150352853517274	0.00409377224789073	17.1428571428571
CP045891.1	3539492	3539494	*	0.000491144010518676	0.00409377224789073	13.953488372093
CP045891.1	3595451	3595453	*	0.00443132307075474	0.00409377224789073	10.5263157894737
CP045891.1	3750550	3750552	*	0.00216269685427378	0.00409377224789073	-10.4166666666667
CP045891.1	3943204	3943206	*	0.00718647689696262	0.00409377224789073	-11.1111111111111
CP045891.1	3998577	3998579	*	0.00313768614023345	0.00409377224789073	-13.5135135135135
CP045891.1	4016052	4016054	*	0.0072331780032312	0.00409377224789073	11.1111111111111
CP045891.1	4155645	4155647	*	0.00546233434289713	0.00409377224789073	-11.1111111111111
CP045891.1	4415110	4415112	*	0.000498631966834786	0.00409377224789073	15.7894736842105
CP045891.1	4551401	4551403	*	0.00623774896958459	0.00409377224789073	14.7058823529412
CP045891.1	4706187	4706189	*	0.0214497974397219	0.00409377224789073	-10.6382978723404
CP045891.1	5399386	5399388	*	0.00246703808968532	0.00409377224789073	10.3448275862069
CP045891.1	5587892	5587894	*	0.0140637407285828	0.00409377224789073	-12.5
CP045891.1	5767265	5767267	*	0.000909117684886255	0.00409377224789073	-13.3333333333333
CP045891.1	5998369	5998371	*	0.00576442565410734	0.00409377224789073	-12.7659574468085
CP045891.1	6019812	6019814	*	0.0151016183562084	0.00409377224789073	-11.4285714285714
CP045891.1	6151291	6151293	*	0.000742715045160341	0.00409377224789073	14.6341463414634
CP045891.1	6291764	6291766	*	0.00998716614273706	0.00409377224789073	11.1111111111111
CP045891.1	6415770	6415772	*	0.00163136166273957	0.00409377224789073	-15.625
CP045891.1	6461176	6461178	*	0.00723968312678297	0.00409377224789073	-10.6382978723404
CP045891.1	6618785	6618787	*	7.29320879670027e-05	0.00409377224789073	18.3673469387755
CP045891.1	6652974	6652976	*	0.00549036494324173	0.00409377224789073	13.953488372093
CP045891.1	6715156	6715158	*	0.00937154789298973	0.00409377224789073	-10.2564102564103
CP045891.1	7044062	7044064	*	0.000736175750248753	0.00409377224789073	11.7647058823529
CP045891.1	7233902	7233904	*	0.00615308233733995	0.00409377224789073	-12.1951219512195
CP045891.1	7372735	7372737	*	0.00262115225551007	0.00409377224789073	-13.953488372093
CP045891.1	7420431	7420433	*	0.00116025753715779	0.00409377224789073	11.5384615384615
CP045891.1	7546044	7546046	*	0.00103576925669719	0.00409377224789073	18.75
CP045891.1	7571159	7571161	*	0.0023624226461601	0.00409377224789073	-11.9047619047619
CP045891.1	7757991	7757993	*	0.00871455304561512	0.00409377224789073	10.7142857142857
CP045891.1	7977042	7977044	*	0.00342279425700319	0.00409377224789073	-10.5263157894737
CP045891.1	8035797	8035799	*	0.00729252099503989	0.00409377224789073	10.1694915254237
CP045891.1	8303694	8303696	*	0.0178098191716653	0.00409377224789073	10.2040816326531
CP045891.1	8370127	8370129	*	0.00965071141161251	0.00409377224789073	14.7058823529412
CP045891.1	8696561	8696563	*	0.000703987581052224	0.00409377224789073	15.7894736842105
CP045891.1	8797986	8797988	*	0.0144989399270318	0.00409377224789073	10.2040816326531
CP045891.1	8829177	8829179	*	0.0100690837980689	0.00409377224789073	11.6279069767442
CP045891.1	9272189	9272191	*	0.00575038609289575	0.00409377224789073	12.1951219512195
CP045891.1	9332968	9332970	*	0.00223389061791933	0.00409377224789073	12.5
CP045891.1	9422392	9422394	*	0.00771363674051057	0.00409377224789073	-10.4166666666667
CP045891.1	9612428	9612430	*	0.00236861550652155	0.00409377224789073	-14.6341463414634
CP045891.1	9656335	9656337	*	0.00563333925934856	0.00409377224789073	-12.8205128205128
CP045891.1	9658772	9658774	*	0.0104414219647634	0.00409377224789073	13.8888888888889
CP045891.1	9850737	9850739	*	0.00177763575908001	0.00409377224789073	12
CP045891.1	9913462	9913464	*	0.00788933367145625	0.00409377224789073	-11.3207547169811
CP045891.1	9983178	9983180	*	0.0112337247412383	0.00409377224789073	-10.4166666666667
CP045891.1	10015833	10015835	*	0.0210476714383954	0.00409377224789073	-10.5263157894737
CP045891.1	10255808	10255810	*	0.00349083140142637	0.00409377224789073	-18.1818181818182
CP045891.1	10308181	10308183	*	0.00191061926407185	0.00409377224789073	10.9090909090909
CP045891.1	10327018	10327020	*	0.0041643085334552	0.00409377224789073	10.5263157894737
CP045891.1	10378620	10378622	*	0.00847619641337011	0.00409377224789073	13.6363636363636
CP045891.1	10441661	10441663	*	0.000915027870528139	0.00409377224789073	11.9047619047619
CP045891.1	10548404	10548406	*	0.0133642087506683	0.00409377224789073	11.3636363636364
CP045891.1	10582555	10582557	*	0.00185613967373947	0.00409377224789073	10.5263157894737
CP045891.1	10623242	10623244	*	0.00228003084286181	0.00409377224789073	13.6363636363636
CP045891.1	10632031	10632033	*	0.141655598631533	0.00409377224789073	-10.4761904761905
CP045891.1	10742448	10742450	*	0.00575038609290324	0.00409377224789073	12.1951219512195
CP045891.1	10826198	10826200	*	0.000680566991710709	0.00409377224789073	17.6470588235294
CP045891.1	10865910	10865912	*	0.00420311269046061	0.00409377224789073	-13.1578947368421
CP045891.1	10882278	10882280	*	0.00716125751831687	0.00409377224789073	-12.2448979591837
CP045891.1	11172433	11172435	*	0.00873223366151473	0.00409377224789073	-11.1111111111111
CP045891.1	11245262	11245264	*	0.00515808920836422	0.00409377224789073	-11.5384615384615
CP045891.1	11251090	11251092	*	0.00290592512747127	0.00409377224789073	-10.5263157894737
CP045891.1	11809847	11809849	*	0.00182869346355332	0.00409377224789073	10.6382978723404
CP045891.1	11820391	11820393	*	0.0082077690796887	0.00409377224789073	-11.4285714285714
CP045891.1	11908154	11908156	*	0.00755879574756672	0.00409377224789073	-12.5
CP045891.1	12140480	12140482	*	0.00465982263853583	0.00409377224789073	-14.6341463414634
CP045891.1	12172938	12172940	*	0.000780159173716206	0.00409377224789073	-16.6666666666667
CP045891.1	12492922	12492924	*	0.00620201826551799	0.00409377224789073	-11.9047619047619
CP045891.1	12591871	12591873	*	0.00973910888372841	0.00409377224789073	-13.0434782608696
CP045891.1	12827144	12827146	*	0.00211639749710348	0.00409377224789073	13.3333333333333
CP045891.1	12856195	12856197	*	0.00559629418585964	0.00409377224789073	15.625
CP045891.1	12932169	12932171	*	0.00321896324858419	0.00409377224789073	-13.1578947368421
CP045891.1	13718199	13718201	*	0.00954359822051089	0.00409377224789073	-13.5135135135135
CP045891.1	14037749	14037751	*	0.00305258269319849	0.00409377224789073	-10.9090909090909
CP045891.1	14107373	14107375	*	0.00160851731546273	0.00409377224789073	14.6341463414634
